State,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
ANDAMAN & NICOBAR,,2025-26,1,599,7050,1,266,7382,1,407,7242,23,373,7253,0,692,6958,6997,653,498,7151,7621,28,6657,991,7379,270,7349,300,7648,1
ANDHRA PRADESH,,2025-26,4712,100729,418226,248732,184648,90323,309787,147747,66213,78523,144176,300916,27300,4870,491459,495617,28051,448332,75313,305814,204971,284030,225768,465491,47455,382669,140658,417596,95302
ARUNACHAL PRADESH,,2025-26,3780,16471,2055,6138,14269,1675,2677,14462,5086,9844,9947,2511,18,11554,10730,21246,1056,18865,3431,19941,2348,20905,1318,21077,1228,16156,5004,19004,3209
ASSAM,,2025-26,82657,78651,774,111486,37560,13036,12030,65982,84070,94051,25332,42699,1,82903,79178,162067,15,155228,6854,156916,5166,104414,57668,157231,4851,59664,102418,142292,19790
BIHAR,,2025-26,2426,95234,155881,196548,48898,8106,46052,190953,16548,29223,133245,91051,3145,6497,243905,250821,2722,200505,53029,232360,21192,196243,57284,251144,2402,153134,100408,242614,10934
CHHATTISGARH,,2025-26,1515,44831,205326,16899,163181,71591,97074,139236,15361,36735,99495,115392,131,28595,222899,250566,1012,168128,83505,234583,17069,150373,101151,247518,3990,190247,61342,248767,2895
GOA,,2025-26,1192,2164,2434,1879,1256,2097,2583,2452,753,3903,983,905,0,2457,3333,5178,611,1688,2714,5609,182,3734,2045,5497,289,2420,2714,5455,335
GUJARAT,,2025-26,4700,107398,393660,337194,140354,28212,275461,194010,36290,166994,171118,167633,21652,1332,482777,393318,112442,414182,91577,360173,145577,354586,151161,487277,18476,216223,289510,460852,44908
HARYANA,,2025-26,0,0,172,75139,161125,126325,70372,200384,91939,15187,65409,281848,7102,177,355442,334884,27842,346531,16165,243456,119001,279614,81711,339585,14746,25791,44125,271360,90905
HIMACHAL PRADESH,,2025-26,662,23263,22772,17425,34031,5533,22160,28171,5521,42887,9992,4089,35,399,56566,63329,61,10105,3323,40837,4860,41567,3154,44205,1473,7884,130,33974,11720
JAMMU & KASHMIR,,2025-26,13000,51875,20051,34764,45308,4854,20515,57210,7198,51062,20366,13478,635,3001,81260,82668,2099,67374,13814,52643,25424,55748,22897,72102,5840,37477,11084,64813,13239
JHARKHAND,,2025-26,1330,152191,83372,45120,156578,35155,12767,194182,29945,48310,124662,63914,554,88482,147864,236291,579,192841,44054,228153,3283,202803,28608,228297,3083,153076,82400,226657,4780
KARNATAKA,,2025-26,8248,65822,110860,109450,61770,13712,82303,80468,22163,44535,62860,77531,7203,11118,166613,174240,10693,120794,64139,82527,102407,79112,105815,173577,11355,80723,104203,155089,29844
KERALA,,2025-26,0,0,1915,58819,14838,9556,23339,39536,20331,42823,17660,22699,22,18051,65402,82650,537,43203,38892,81042,946,78568,3107,81293,560,43442,38732,79859,2092
LADAKH,,2025-26,0,0,0,321,110,19,326,120,4,445,2,3,1,0,449,447,3,0,0,418,32,421,29,450,0,0,0,381,69
MADHYA PRADESH,,2025-26,4910,260581,652586,205607,649134,64874,261736,621912,35948,209789,365123,343942,7067,16429,896004,859777,59432,718639,199223,697641,221666,478434,440360,822536,96249,618472,298075,797253,122052
MAHARASHTRA,,2025-26,3774,79194,589644,123885,417810,130875,444300,209336,18970,129881,177046,365645,21466,26172,625818,663412,9124,358768,313740,335724,333329,342600,329540,659715,12036,352070,320041,610157,61976
MANIPUR,,2025-26,0,2,1,0,3,0,2,0,1,0,3,0,0,1,2,3,0,3,0,3,0,2,1,3,0,3,0,3,0
MEGHALAYA,,2025-26,2,6210,3456,1243,3153,5272,803,7043,1822,8089,1343,233,0,6356,3313,9665,4,3058,6610,8496,1172,4515,5151,9551,110,6043,3625,8893,775
MIZORAM,,2025-26,3,832,5102,157,5555,225,764,2633,2538,5812,85,40,0,2642,3292,295,1089,4,0,0,0,0,0,1,0,3,0,0,0
NAGALAND,,2025-26,8970,48969,33226,24900,41420,24845,17099,52292,21774,58450,17552,15162,7,62280,28878,80967,10192,46259,44905,74473,16686,74875,16287,80832,9127,71783,19378,74190,16959
ODISHA,,2025-26,4349,93401,196064,87486,138495,67837,53294,194937,45588,36664,104490,151992,541,85112,208164,290815,976,185708,108108,256483,37313,169025,124151,260791,32390,116557,176606,256412,37387
PUDUCHERRY,,2025-26,1,3,596,346,148,106,147,338,115,296,116,188,98,0,502,576,24,0,0,511,89,596,4,600,0,1,0,599,1
PUNJAB,,2025-26,12,1659,11241,19104,24841,30666,9920,24232,35540,25123,66080,76635,17679,3233,162474,174375,8993,61294,8394,61261,13501,61633,13125,71233,3520,21501,14226,35279,39478
RAJASTHAN,,2025-26,6,32,21013,219989,137461,21279,179861,194271,4700,11838,43145,324021,56098,334,322755,354321,24938,240626,26179,159146,209567,156935,211463,349923,18733,584,149,336053,32663
SIKKIM,,2025-26,193,9975,5602,11306,4197,265,4000,10307,1463,3539,7316,4914,8,6702,9061,15576,180,14524,1247,13704,2063,15311,456,15598,168,12893,2873,14312,1458
TAMIL NADU,,2025-26,134,3496,337480,106225,151382,83494,162204,143257,35665,10747,39562,290689,12262,10616,318176,336457,4502,201700,139405,196064,145009,201183,139740,333072,7930,172365,168667,237547,103576
TELANGANA,,2025-26,386,13288,97872,93185,12871,6566,57800,46337,8449,14408,46453,51759,1592,1039,109994,110931,1691,81098,27402,35988,49327,44999,40371,66280,19082,49132,45530,52458,32066
TRIPURA,,2025-26,25,7525,8011,275,8659,6626,81,12770,2709,5040,4450,6071,1,13918,1643,15556,5,13264,2296,15422,138,9105,6455,15504,56,12520,3039,15448,112
UTTAR PRADESH,,2025-26,1010,71023,1320235,279922,849121,263239,131977,1112741,147849,16744,198808,1176593,9825,1268,1380692,1365213,26820,926402,465925,1027412,364923,885187,506923,1328066,63890,982301,409583,1257920,134405
UTTARAKHAND,,2025-26,1054,10917,52093,28169,29247,6648,14537,36039,13486,37268,16247,10726,24,1340,62884,62010,2232,47519,16545,55824,8240,54223,9837,62406,1650,54003,10229,55541,8523
WEST BENGAL,,2025-26,12325,158535,117462,187960,77863,22498,92926,157576,37824,74072,135099,79146,343,78953,208993,272370,15903,181644,106676,286345,1970,219934,68374,285286,2890,89424,198867,268514,19796
