Sl. No.,States/UT,No. of SHCs Issued to Farmers
1,Andaman and Nicobar,7453
2,Andhra Pradesh,373952
3,Arunachal Pradesh,7754
4,Assam,364530
5,Bihar,2217865
6,Chhattisgarh,226512
7,Dadra and Nagar Haveli and Daman and Diu,581
8,Goa,25760
9,Gujarat,318903
10,Haryana,942102
11,Himachal Pradesh,61145
12,Jammu and Kashmir,379146
13,Ladakh,1720
14,Jharkhand,115218
15,Karnataka,512111
16,Kerala,244562
17,Madhya Pradesh,675905
18,Maharashtra,643666
19,Manipur,27520
20,Meghalaya,30438
21,Mizoram,10146
22,Nagaland,56856
23,Odisha,831655
24,Puducherry,8510
25,Punjab,264695
26,Rajasthan,517612
27,Sikkim,20973
28,Tamil Nadu,799677
29,Telangana,276191
30,Tripura,56681
31,Uttar Pradesh,1159901
32,Uttarakhand,173197
33,West Bengal,412485
Total,Total,11765422
